burstiness,time,data_response_time,voice_response_time,video_response_time,total_response_time,data_sent_packet,voice_sent_packet,video_sent_packet,total_sent_packet,data_processed_packet,voice_processed_packet,video_processed_packet,total_processed_packet,data_confidence_interval,voice_confidence_interval,video_confidence_interval,total_confidence_interval
20.0,5200,0.008159001317251812,0.008072223930616617,0.01337770554520484,0.008661271547128833,31474646,130000000,19587857,181062503,31474457,129999144,19587758,181061359,0.04965123938443932,0.04995573538040253,0.04168866956022352,0.04891794911243306
30.0,7650,0.01269928842458784,0.012611741070823015,0.020922347258979908,0.013525675417102843,46267433,191250000,28800081,266317514,46267433,191250000,28800081,266317514,0.04955255611884484,0.04975977520326055,0.03979183740500302,0.04855322031559259
40.0,9900,0.017119619018657196,0.01703848578299208,0.0282740207856939,0.018267878470573574,59852131,247499999,37277126,344629256,59852093,247499794,37277120,344629007,0.049528067184364595,0.04977224969457887,0.04017487158791182,0.04856760323501407
50.0,10650,0.02155005881160365,0.021461760951163825,0.03561445156637536,0.02300708049369432,64418980,266249999,40080192,370749171,64418548,266248456,40079582,370746586,0.04992998547271894,0.04996766567817637,0.040869614251474576,0.04888185682903412
60.0,11500,0.026466503783897102,0.026385152639647132,0.04376108887085403,0.02827961839994793,69552388,287499998,43327572,400379958,69551823,287497790,43326643,400376256,0.04995399512264121,0.04988092965883214,0.03983088238153523,0.048710245139930344
70.0,15500,0.030388138539225153,0.030309717064021857,0.05044855902920906,0.03249567655083743,93758601,387499996,58188935,539447532,93758601,387499996,58188935,539447532,0.049808478562533745,0.04997870196455073,0.040743391134937586,0.04880968106596412
80.0,21100,0.034740908199121914,0.03465977954057592,0.057828888913137866,0.03716749469600111,127634404,527499999,79014567,734148970,127634258,527499360,79013728,734147346,0.049950349198839006,0.04992770460156407,0.039775805648644025,0.048718070930625385
90.0,22600,0.03953942642684671,0.03946042328494273,0.0655250563531179,0.04229180448329018,136696243,565000000,85049404,786745647,136695289,564996092,85048641,786740022,0.0498987793043808,0.04998786736098519,0.039169087715760095,0.048671697014148606
100.0,22950,0.04399244522225093,0.04391043805428118,0.07307399481351327,0.04707051414253595,138819520,573750000,86157301,798726821,138819520,573750000,86157301,798726821,0.04987780613696896,0.049941813521793735,0.03971100725316377,0.0486814413462663
